,ID,N_VICTIMAS,FECHA,HORA,TIPO_DE_CALLE,Dirección Normalizada,COMUNA,pos x,pos y,VICTIMA,ACUSADO,Tipo
94,2016-0123,1,2016-09-14,1900-01-01 09:00:00,AVENIDA,"ASAMBLEA AV. y BONORINO, ESTEBAN, CNEL. AV.",7,-58.45130953,-34.64053676,MOTO,AUTO,Cruce
95,2016-0124,1,2016-09-16,1900-01-01 15:24:00,AVENIDA,RIVADAVIA AV. y RIVERA INDARTE AV.,7,-58.46271207,-34.62884871,PEATON,PASAJEROS,Cruce
96,2016-0125,1,2016-09-17,1900-01-01 12:14:00,AUTOPISTA,"AUTOPISTA PERITO MORENO y ALBERDI, JUAN BAUTISTA AV.",10,-58.49020869,-34.64243791,MOTO,MOTO,Cruce
97,2016-0126,2,2016-09-18,1900-01-01 22:45:00,CALLE,IRIGOYEN y TINOGASTA,10,-58.52572109,-34.62125906,AUTO,CARGAS,Cruce
98,2016-0127,1,2016-09-24,1900-01-01 10:25:00,AVENIDA,"ACOSTA, MARIANO y ROCA, CNEL. AV.",8,-58.44094791,-34.66677111,PEATON,PASAJEROS,Cruce
99,2016-0128,1,2016-10-02,1900-01-01 11:30:00,AVENIDA,CASTRO y PAVON AV.,5,-58.41914024,-34.6305389,PEATON,PASAJEROS,Cruce
100,2016-0130,1,2016-10-04,1900-01-01 12:30:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRASIL,1,-58.37910942,-34.62764717,MOTO,CARGAS,Cruce
101,2016-0131,1,2016-10-09,1900-01-01 19:13:00,CALLE,MIRAVE 3500,4,-58.39871183,-34.64539318,PEATON,AUTO,Altura
102,2016-0132,1,2016-10-10,1900-01-01 02:30:00,AVENIDA,SAN JUAN AV. y 24 DE NOVIEMBRE,3,-58.41036975,-34.62477021,AUTO,PASAJEROS,Cruce
103,2016-0133,1,2016-10-14,1900-01-01 00:05:00,AVENIDA,LAS HERAS GENERAL AV. y SANCHEZ DE BUSTAMANTE,14,-58.40204698,-34.5834269,MOTO,AUTO,Cruce
104,2016-0134,1,2016-10-23,1900-01-01 05:00:00,AVENIDA,PIEDRA BUENA AV. y 2 DE ABRIL DE 1982,8,-58.48935287,-34.67648597,MOTO,OBJETO FIJO,Cruce
105,2016-0135,1,2016-10-24,1900-01-01 05:00:00,AVENIDA,"FIGUEROA ALCORTA, PRES. AV. y PINEDO, INT.",14,-58.42260225,-34.56403694,PEATON,SD,Cruce
106,2016-0136,1,2016-10-25,1900-01-01 00:00:00,AUTOPISTA,nan,4,,,MOTO,CARGAS,Altura
107,2016-0137,1,2016-10-25,1900-01-01 00:39:00,AVENIDA,SAN MARTIN AV. y LADINES,11,-58.51537091,-34.59035925,MOTO,MOTO,Cruce
108,2016-0138,1,2016-10-27,1900-01-01 20:30:00,AVENIDA,CABILDO AV. y BLANCO ENCALADA,13,-58.4590967,-34.55922742,BICICLETA,CARGAS,Cruce
109,2016-0139,1,2016-10-28,1900-01-01 23:00:00,AVENIDA,"FIGUEROA ALCORTA, PRES. AV. y DORREGO AV.",14,-58.42008769,-34.56539579,MOTO,MOTO,Cruce
110,2016-0140,1,2016-10-31,1900-01-01 02:58:00,AVENIDA,JURAMENTO AV. y VUELTA DE OBLIGADO,13,-58.45566399,-34.56147293,PASAJEROS,PASAJEROS,Cruce
111,2016-0142,1,2016-11-05,1900-01-01 23:30:00,AVENIDA,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",1,-58.37533517,-34.59276462,MOTO,PASAJEROS,Cruce
112,2016-0143,1,2016-11-06,1900-01-01 04:41:00,AVENIDA,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO,SD,Cruce
113,2016-0144,1,2016-11-07,1900-01-01 12:10:00,AVENIDA,"BROWN, ALTE. AV. 984",4,-58.35975012,-34.63343907,PEATON,PASAJEROS,Altura
114,2016-0145,1,2016-11-07,1900-01-01 20:56:00,AVENIDA,DEL LIBERTADOR AV. y LA PAMPA,13,-58.44523595,-34.55953855,MOTO,AUTO,Cruce
115,2016-0146,1,2016-11-09,1900-01-01 20:00:00,AVENIDA,PICHINCHA AV. y BRASIL,4,-58.39626094,-34.63036565,PEATON,PASAJEROS,Cruce
116,2016-0147,1,2016-11-16,1900-01-01 21:15:00,AVENIDA,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",1,-58.38896772,-34.61799615,MOVIL,PASAJEROS,Cruce
117,2016-0148,1,2016-11-16,1900-01-01 22:20:00,AVENIDA,GARMENDIA AV. 4895,15,-58.46536113,-34.59484504,MOTO,MOTO,Altura
118,2016-0150,1,2016-11-18,1900-01-01 18:20:00,AVENIDA,"ALCORTA, AMANCIO AV. y TABORDA, DIOGENES",4,-58.40879146,-34.65273216,CARGAS,CARGAS,Cruce
119,2016-0151,1,2016-11-18,1900-01-01 20:35:00,CALLE,nan,0,,,PEATON,SD,Altura
120,2016-0152,1,2016-11-23,1900-01-01 21:10:00,AVENIDA,"MORENO, PERITO AV. y ZUVIRIA",7,-58.46451841,-34.64991946,MOTO,AUTO,Cruce
121,2016-0153,1,2016-11-25,1900-01-01 15:42:00,AVENIDA,ARAOZ y CORDOBA AV.,15,-58.4291709,-34.59485488,PEATON,MOTO,Cruce
122,2016-0154,1,2016-11-26,1900-01-01 14:14:00,GRAL PAZ,"PAZ, GRAL. AV. 15200",8,-58.49007772,-34.68251141,MOTO,MOTO,Altura
123,2016-0155,1,2016-11-26,1900-01-01 16:50:00,CALLE,MADERO 900,10,-58.52756365,-34.62772274,PEATON,AUTO,Altura
124,2016-0156,1,2016-11-26,1900-01-01 19:40:00,AVENIDA,INDEPENDENCIA AV. y DEAN FUNES,3,-58.40638983,-34.61943202,MOTO,PASAJEROS,Cruce
125,2016-0157,1,2016-12-03,1900-01-01 06:40:00,AVENIDA,"JUSTO, JUAN B. AV. 5645",11,-58.47576807,-34.61740997,MOTO,MOTO,Altura
126,2016-0159,1,2016-12-04,1900-01-01 07:21:00,AVENIDA,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,AUTO,SD,Cruce
127,2016-0160,1,2016-12-06,1900-01-01 05:30:00,AUTOPISTA,AUTOPISTA PERITO MORENO (ALTURA VELEZ SARSFIELD),9,-58.51927194,-34.63635787,CARGAS,OBJETO FIJO,Altura
128,2016-0161,1,2016-12-06,1900-01-01 07:22:00,AVENIDA,SANTA FE AV. y GODOY CRUZ,14,-58.42525456,-34.57866344,PEATON,PASAJEROS,Cruce
129,2016-0162,1,2016-12-07,1900-01-01 05:00:00,AVENIDA,"LACROZE, FEDERICO AV. y FOREST AV.",15,-58.45396573,-34.58518167,PEATON,AUTO,Cruce
130,2016-0163,1,2016-12-10,1900-01-01 07:30:00,GRAL PAZ,"PAZ, GRAL. AV. y MOSCONI GENERAL AV.",11,-58.52340614,-34.59798754,MOTO,AUTO,Cruce
131,2016-0164,1,2016-12-11,1900-01-01 06:16:00,AVENIDA,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4,-58.42323628,-34.64119105,AUTO,AUTO,Cruce
132,2016-0165,1,2016-12-12,1900-01-01 08:25:00,AVENIDA,"GARCIA, MARTIN AV. 300",4,-58.36926144,-34.62841919,BICICLETA,PASAJEROS,Altura
133,2016-0168,1,2016-12-13,1900-01-01 10:40:00,AVENIDA,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4,-58.42323628,-34.64119105,MOTO,AUTO,Cruce
134,2016-0169,1,2016-12-15,1900-01-01 15:30:00,AVENIDA,"NUÃ‘EZ y BALBIN, RICARDO, DR. AV.",12,-58.47935434,-34.55676497,MOTO,PASAJEROS,Cruce
135,2016-0170,1,2016-12-19,1900-01-01 17:10:00,GRAL PAZ,"PAZ, GRAL. AV. 4500",12,-58.50598256,-34.5637998,MOTO,AUTO,Altura
136,2016-0171,1,2016-12-25,1900-01-01 19:00:00,AUTOPISTA,"HUERGO, ING. AV. y AUTOPISTA 25 DE MAYO",1,-58.36607137,-34.62150748,MOTO,MOTO,Cruce
137,2016-0172,1,2016-12-26,1900-01-01 08:00:00,AVENIDA,"GARAY, JUAN DE AV. y CASTRO",5,-58.41918902,-34.63174259,MOTO,CARGAS,Cruce
138,2016-0173,1,2016-12-26,1900-01-01 19:52:00,AVENIDA,DIRECTORIO AV. y SAN PEDRITO AV.,7,-58.46749188,-34.63551751,MOTO,CARGAS,Cruce
139,2016-0174,1,2016-12-27,1900-01-01 00:00:00,AUTOPISTA,AUTOPISTA 25 DE MAYO,0,,,SD,SD,Altura
140,2016-0175,1,2016-12-27,1900-01-01 08:15:00,CALLE,"FALCON, RAMON L.,CNEL. y MEMBRILLAR",7,-58.46064174,-34.62960517,PEATON,BICICLETA,Cruce
141,2016-0176,1,2016-12-28,1900-01-01 01:41:00,AVENIDA,BELGRANO AV. y PASEO COLON AV.,1,-58.36956186,-34.61232875,MOTO,PASAJEROS,Cruce
142,2016-0177,1,2016-12-29,1900-01-01 04:00:00,CALLE,ARENALES 3319,14,-58.40966671,-34.58788235,PEATON,AUTO,Altura
